problem,family,n,group,algorithm,temperature,temp_str,train_set,seed,edges,n_selected,f1,time,train_sp,test_sp,test1_sp,test2_sp,train_ll,test_ll,test1_ll,test2_ll,train_kl,test_kl,test1_kl,test2_kl,ll_s0,kl_s0,sp_s0,ll_s1,kl_s1,sp_s1,ll_s2,kl_s2,sp_s2
Braid_100,Braid,100,large,k2_plus,10.0,10,0,1,0.0,800.0,0.0,0.47471023,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,k2_refine,0.1,0.1,0,1,293.0,800.0,0.020408163,5.2619181,0.52034202,-0.0142504491,-0.022966837,-0.0055340612,-164.42603,-182.000275,-181.87808,-182.12247,36.55461,32.0359025,35.731186,28.340619,-164.42603,36.55461,0.52034202,-181.87808,35.731186,-0.022966837,-182.12247,28.340619,-0.0055340612
Braid_100,Braid,100,large,k2_refine,1.0,1.0,0,1,0.0,800.0,0.0,0.47002745,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,k2_refine,10.0,10,0,1,0.0,800.0,0.0,0.4462173,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,pc,0.1,0.1,0,1,485.0,800.0,0.017123288,1.1906438,0.5962749,-0.017223340099999998,-0.041817384,0.0073707038,-125.27746,-145.50535000000002,-145.45393,-145.55677,23.350035,9.05743805,7.3006011,10.814275,-125.27746,23.350035,0.5962749,-145.45393,7.3006011,-0.041817384,-145.55677,10.814275,0.0073707038
Braid_100,Braid,100,large,pc,1.0,1.0,0,1,79.0,800.0,0.0,0.35878396,0.22669788,0.01264938835,-0.0044193383,0.029718115,-135.89115,-141.870885,-141.85678,-141.88499,3.1725911,3.48920255,3.7072204,3.2711847,-135.89115,3.1725911,0.22669788,-141.85678,3.7072204,-0.0044193383,-141.88499,3.2711847,0.029718115
Braid_100,Braid,100,large,pc,10.0,10,0,1,80.0,800.0,0.011173184,0.35040855,0.074592593,-0.015733082840000003,-0.031662606,0.00019644032,-135.6964,-141.81363,-141.86413,-141.76313,2.8722753,3.67412285,3.8476845,3.5005612,-135.6964,2.8722753,0.074592593,-141.86413,3.8476845,-0.031662606,-141.76313,3.5005612,0.00019644032
Braid_100,Braid,100,large,rfe_k2,0.1,0.1,0,1,294.0,800.0,0.050890585,9.3129764,0.52227238,0.03682460825,0.081182925,-0.0075337085,-165.0049,-183.558135,-183.77882,-183.33745,36.276652,29.437276,26.73393,32.140622,-165.0049,36.276652,0.52227238,-183.77882,26.73393,0.081182925,-183.33745,32.140622,-0.0075337085
Braid_100,Braid,100,large,rfe_k2,1.0,1.0,0,1,0.0,800.0,0.0,3.5263519,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,rfe_k2,10.0,10,0,1,0.0,800.0,0.0,3.4553845,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
